ticker,name,market,locale,active,currency_symbol,currency_name,base_currency_symbol,base_currency_name,last_updated_utc
X:XAUTUSD,Tether Gold - United States Dollar,crypto,global,True,USD,United States Dollar,XAUT,Tether Gold,2017-01-01T00:00:00Z
X:XDCUSD,XDC Network - United States Dollar,crypto,global,True,USD,United States Dollar,XDC,XDC Network,2017-01-01T00:00:00Z
X:XLMUSD,Stellar - United States Dollar,crypto,global,True,USD,United States Dollar,XLM,Stellar,2017-01-01T00:00:00Z
X:XMRUSD,Monero - United States Dollar,crypto,global,True,USD,United States Dollar,XMR,Monero,2017-01-01T00:00:00Z
X:XRAUSD,Ratecoin - United States Dollar,crypto,global,True,USD,United States Dollar,XRA,Ratecoin,2017-01-01T00:00:00Z
X:XRDUSD,Radix - United States Dollar,crypto,global,True,USD,United States Dollar,XRD,Radix,2017-01-01T00:00:00Z
X:XRPAUD,Ripple - Australian dollar,crypto,global,True,AUD,Australian dollar,XRP,Ripple,2017-01-01T00:00:00Z
X:XRPBTC,Ripple - Bitcoin,crypto,global,True,BTC,Bitcoin,XRP,Ripple,2017-01-01T00:00:00Z
X:XRPUSD,Ripple - United States Dollar,crypto,global,True,USD,United States Dollar,XRP,Ripple,2017-01-01T00:00:00Z
X:XTZUSD,Tezos - United States Dollar,crypto,global,True,USD,United States Dollar,XTZ,Tezos,2017-01-01T00:00:00Z
X:XVGUSD,Verge - United States Dollar,crypto,global,True,USD,United States Dollar,XVG,Verge,2017-01-01T00:00:00Z
X:XYOUSD,XYO - United States Dollar,crypto,global,True,USD,United States Dollar,XYO,XYO,2017-01-01T00:00:00Z
X:YFIUSD,yearn.finance - United States Dollar,crypto,global,True,USD,United States Dollar,YFI,yearn.finance,2017-01-01T00:00:00Z
X:YGGEUR,YggDrash - Euro,crypto,global,True,EUR,Euro,YGG,YggDrash,2017-01-01T00:00:00Z
X:YGGUSD,YggDrash - United States Dollar,crypto,global,True,USD,United States Dollar,YGG,YggDrash,2017-01-01T00:00:00Z
X:ZCNUSD,0chain - United States Dollar,crypto,global,True,USD,United States Dollar,ZCN,0chain,2017-01-01T00:00:00Z
X:ZECUSD,Zcash - United States Dollar,crypto,global,True,USD,United States Dollar,ZEC,Zcash,2017-01-01T00:00:00Z
X:ZENUSD,Horizen - United States Dollar,crypto,global,True,USD,United States Dollar,ZEN,Horizen,2017-01-01T00:00:00Z
X:ZILUSD,Zilliqa - United States Dollar,crypto,global,True,USD,United States Dollar,ZIL,Zilliqa,2017-01-01T00:00:00Z
X:ZKXUSD,zkSync - United States Dollar,crypto,global,True,USD,United States Dollar,ZKX,zkSync,2017-01-01T00:00:00Z
X:ZMTUSD,Zipmex - United States Dollar,crypto,global,True,USD,United States Dollar,ZMT,Zipmex,2017-01-01T00:00:00Z
X:ZRXUSD,0x - United States Dollar,crypto,global,True,USD,United States Dollar,ZRX,0x,2017-01-01T00:00:00Z
