"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
460,"UBER","Uber Technologies Inc","Technology","Software - Application","USA",144985.87,74.24,69.01,5.29%,21769195
461,"UDR","UDR Inc","Real Estate","REIT - Residential","USA",13641.36,102.35,41.36,0.51%,1311266
462,"UHS","Universal Health Services, Inc.","Healthcare","Medical Care Facilities","USA",14617.51,16.02,218.40,2.98%,715306
463,"ULTA","Ulta Beauty Inc","Consumer Cyclical","Specialty Retail","USA",15609.69,12.76,327.11,1.81%,749516
464,"UNH","Unitedhealth Group Inc","Healthcare","Healthcare Plans","USA",521155.96,37.53,566.24,0.03%,2860777
465,"UNP","Union Pacific Corp.","Industrials","Railroads","USA",146536.96,22.60,240.54,1.56%,1444807
466,"UPS","United Parcel Service, Inc.","Industrials","Integrated Freight & Logistics","USA",107980.23,20.60,126.21,2.34%,3822047
467,"URI","United Rentals, Inc.","Industrials","Rental & Leasing Services","USA",45587.66,18.19,689.26,4.18%,503959
468,"USB","U.S. Bancorp.","Financial","Banks - Regional","USA",65166.89,13.25,41.76,0.89%,6364457
469,"V","Visa Inc","Financial","Credit Services","USA",513400.67,28.23,259.83,1.29%,8223398
470,"VICI","VICI Properties Inc","Real Estate","REIT - Diversified","USA",32724.06,12.28,31.25,-0.73%,3644196
471,"VLO","Valero Energy Corp.","Energy","Oil & Gas Refining & Marketing","USA",48572.81,8.67,151.61,2.25%,2042070
472,"VLTO","Veralto Corp","Industrials","Pollution & Treatment Controls","USA",26500.08,33.54,107.24,2.89%,1173630
473,"VMC","Vulcan Materials Co","Basic Materials","Building Materials","USA",32577.14,35.92,246.33,2.12%,1196262
474,"VRSK","Verisk Analytics Inc","Industrials","Consulting Services","USA",37684.33,42.97,264.60,1.65%,672346
475,"VRSN","Verisign Inc.","Technology","Software - Infrastructure","USA",17301.55,21.21,177.27,1.17%,541047
476,"VRTX","Vertex Pharmaceuticals, Inc.","Healthcare","Biotechnology","USA",120264.27,,465.96,0.02%,1545000
477,"VST","Vistra Corp","Utilities","Utilities - Independent Power Producers","USA",27477.14,61.19,79.08,6.94%,10744278
478,"VTR","Ventas Inc","Real Estate","REIT - Healthcare Facilities","USA",24371.72,,58.99,2.06%,3824033
479,"VTRS","Viatris Inc","Healthcare","Drug Manufacturers - Specialty & Generic","USA",14407.23,,12.10,6.51%,17115834
480,"VZ","Verizon Communications Inc","Communication Services","Telecom Services","USA",170569.75,15.20,40.52,0.60%,13234170
481,"WAB","Westinghouse Air Brake Technologies Corp","Industrials","Railroads","USA",27158.16,27.11,155.03,1.20%,2963842
482,"WAT","Waters Corp.","Healthcare","Diagnostics & Research","USA",19787.06,33.21,333.34,3.57%,298431
483,"WBA","Walgreens Boots Alliance Inc","Healthcare","Pharmaceutical Retailers","USA",9375.11,,10.86,0.74%,10179099
484,"WBD","Warner Bros. Discovery Inc","Communication Services","Entertainment","USA",17201.18,,7.02,-8.95%,71211406
485,"WDC","Western Digital Corp.","Technology","Computer Hardware","USA",19258.15,,58.98,4.85%,6066777
486,"WEC","WEC Energy Group Inc","Utilities","Utilities - Regulated Electric","USA",27754.98,20.28,87.81,-1.28%,2120036
487,"WELL","Welltower Inc.","Real Estate","REIT - Healthcare Facilities","USA",70496.93,186.60,115.73,0.79%,2543359
488,"WFC","Wells Fargo & Co.","Financial","Banks - Diversified","USA",179582.90,10.83,52.76,0.90%,16164083
489,"WM","Waste Management, Inc.","Industrials","Waste Management","USA",82629.73,32.71,205.90,0.51%,1259926
490,"WMB","Williams Cos Inc","Energy","Oil & Gas Midstream","USA",53462.27,18.99,43.86,2.00%,5601554
491,"WMT","Walmart Inc","Consumer Defensive","Discount Stores","USA",544225.95,28.90,67.66,1.12%,12483327
492,"WRB","W.R. Berkley Corp.","Financial","Insurance - Property & Casualty","USA",21580.99,14.89,56.71,1.30%,1585114
493,"WST","West Pharmaceutical Services, Inc.","Healthcare","Medical Instruments & Supplies","USA",21255.67,41.68,293.02,-0.26%,731782
494,"WTW","Willis Towers Watson Public Limited Co","Financial","Insurance Brokers","United Kingdom",28225.56,26.54,277.92,0.90%,307542
495,"WY","Weyerhaeuser Co.","Real Estate","REIT - Specialty","USA",22619.65,30.51,31.10,-0.16%,2996778
496,"WYNN","Wynn Resorts Ltd.","Consumer Cyclical","Resorts & Casinos","USA",8507.38,10.17,76.65,2.40%,2649966
497,"XEL","Xcel Energy, Inc.","Utilities","Utilities - Regulated Electric","USA",32418.63,17.38,58.15,-0.36%,3025002
498,"XOM","Exxon Mobil Corp.","Energy","Oil & Gas Integrated","USA",523765.23,14.11,117.89,1.91%,13849876
499,"XYL","Xylem Inc","Industrials","Specialty Industrial Machinery","USA",31170.07,40.67,128.33,1.18%,1020198
500,"YUM","Yum Brands Inc.","Consumer Cyclical","Restaurants","USA",38611.47,25.12,137.10,0.50%,1355122
501,"ZBH","Zimmer Biomet Holdings Inc","Healthcare","Medical Devices","USA",22362.85,22.66,108.70,2.73%,2007004
502,"ZBRA","Zebra Technologies Corp.","Technology","Communication Equipment","USA",16593.80,72.50,321.71,2.24%,673258
503,"ZTS","Zoetis Inc","Healthcare","Drug Manufacturers - Specialty & Generic","USA",85309.32,36.87,188.30,1.91%,1734091
