"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1767,"TPH","Tri Pointe Homes Inc.","Consumer Cyclical","Residential Construction","USA",3796.01,9.21,40.56,2.09%,2327829
1768,"TPIC","TPI Composites Inc","Industrials","Specialty Industrial Machinery","USA",164.25,,3.46,5.97%,1518281
1769,"TRAK","ReposiTrak Inc.","Technology","Software - Application","USA",313.02,62.09,17.18,1.36%,35923
1770,"TRC","Tejon Ranch Co.","Industrials","Conglomerates","USA",452.55,356.87,16.88,1.75%,47949
1771,"TRDA","Entrada Therapeutics Inc","Healthcare","Biotechnology","USA",536.53,23.04,14.45,4.63%,88515
1772,"TREE","LendingTree Inc.","Financial","Financial Conglomerates","USA",602.03,,45.13,4.03%,147716
1773,"TRMK","Trustmark Corp.","Financial","Banks - Regional","USA",1918.93,10.37,31.35,2.15%,173778
1774,"TRML","Tourmaline Bio Inc","Healthcare","Biotechnology","USA",372.95,,14.54,6.13%,72537
1775,"TRN","Trinity Industries, Inc.","Industrials","Railroads","USA",2707.66,16.89,32.84,0.31%,1119742
1776,"TRNO","Terreno Realty Corp","Real Estate","REIT - Industrial","USA",6632.65,38.47,68.59,4.10%,942866
1777,"TRNS","Transcat Inc","Industrials","Industrial Distribution","USA",1066.36,69.13,116.67,4.50%,143166
1778,"TROX","Tronox Holdings plc","Basic Materials","Chemicals","USA",2046.64,,12.96,2.45%,847311
1779,"TRS","Trimas Corporation","Consumer Cyclical","Packaging & Containers","USA",965.84,24.30,23.76,0.13%,265540
1780,"TRST","Trustco Bank Corp.","Financial","Banks - Regional","USA",616.63,12.54,32.42,0.97%,45695
1781,"TRTX","TPG RE Finance Trust Inc","Real Estate","REIT - Mortgage","USA",676.57,,8.36,1.95%,355461
1782,"TRUE","Truecar Inc","Communication Services","Internet Content & Information","USA",262.18,,2.86,5.54%,332899
1783,"TRUP","Trupanion Inc","Financial","Insurance - Specialty","USA",1471.96,,35.03,4.07%,669461
1784,"TRVI","Trevi Therapeutics Inc","Healthcare","Biotechnology","USA",197.23,,2.80,8.11%,133521
1785,"TSBK","Timberland Bancorp, Inc.","Financial","Banks - Regional","USA",226.97,9.36,28.30,4.35%,12013
1786,"TSHA","Taysha Gene Therapies Inc","Healthcare","Biotechnology","USA",422.90,,2.10,3.45%,815279
1787,"TSQ","Townsquare Media Inc","Communication Services","Advertising Agencies","USA",173.28,,11.46,3.34%,40746
1788,"TSVT","2seventy bio Inc","Healthcare","Biotechnology","USA",234.43,,4.56,4.83%,283591
1789,"TTEC","TTEC Holdings Inc","Technology","Information Technology Services","USA",246.36,,5.18,-3.18%,506653
1790,"TTGT","Techtarget Inc.","Communication Services","Internet Content & Information","USA",828.52,,29.02,0.55%,94797
1791,"TTI","Tetra Technologies, Inc.","Energy","Oil & Gas Equipment & Services","USA",427.21,42.82,3.25,4.84%,1482829
1792,"TTMI","TTM Technologies Inc","Technology","Electronic Components","USA",1808.59,109.30,17.74,2.84%,744991
1793,"TTSH","Tile Shop Hldgs Inc","Consumer Cyclical","Home Improvement Retail","USA",271.63,49.51,6.10,1.67%,69563
1794,"TUSK","Mammoth Energy Services Inc","Industrials","Conglomerates","USA",179.04,,3.72,4.79%,234204
1795,"TVGN","Tevogen Bio Holdings Inc.","Healthcare","Biotechnology","USA",104.38,,0.61,0.82%,399420
1796,"TVTX","Travere Therapeutics Inc","Healthcare","Biotechnology","USA",652.46,,8.53,1.31%,1148842
1797,"TWI","Titan International, Inc.","Industrials","Farm & Heavy Construction Machinery","USA",550.58,17.61,7.63,0.39%,625498
1798,"TWIN","Twin Disc Incorporated","Industrials","Specialty Industrial Machinery","USA",171.64,14.00,12.26,4.79%,38675
1799,"TWKS","Thoughtworks Holding Inc","Technology","Information Technology Services","USA",1399.28,,4.33,0.23%,980914
1800,"TWO","Two Harbors Investment Corp","Real Estate","REIT - Mortgage","USA",1390.58,37.82,13.42,1.44%,685689
1801,"TWST","Twist Bioscience Corp","Healthcare","Diagnostics & Research","USA",2661.16,,45.42,1.95%,875859
1802,"TXNM","TXNM Energy Inc.","Utilities","Utilities - Regulated Electric","USA",3645.88,44.67,40.42,0.72%,393511
1803,"TYRA","Tyra Biosciences Inc","Healthcare","Biotechnology","USA",1067.24,,20.34,4.31%,348897
1804,"UBSI","United Bankshares, Inc.","Financial","Banks - Regional","USA",4896.94,14.04,36.22,2.43%,557303
1805,"UCB","United Community Banks Inc","Financial","Banks - Regional","USA",3341.53,18.17,28.04,2.22%,439875
1806,"UCTT","Ultra Clean Hldgs Inc","Technology","Semiconductor Equipment & Materials","USA",1635.04,,36.31,4.91%,638617
1807,"UDMY","Udemy Inc","Consumer Defensive","Education & Training Services","USA",1085.60,,7.22,2.56%,1603944
1808,"UE","Urban Edge Properties","Real Estate","REIT - Retail","USA",2393.84,8.00,19.73,0.56%,840639
1809,"UEC","Uranium Energy Corp","Energy","Uranium","USA",1855.86,,4.54,3.65%,4993319
1810,"UFCS","United Fire Group Inc","Financial","Insurance - Property & Casualty","USA",468.81,12.92,18.53,-0.75%,141957
1811,"UFPI","UFP Industries Inc","Basic Materials","Lumber & Wood Production","USA",7293.29,15.35,118.11,0.97%,238845
1812,"UFPT","UFP Technologies Inc.","Healthcare","Medical Devices","USA",2378.77,48.36,310.14,3.51%,75724
1813,"UHG","United Homes Group Inc","Consumer Cyclical","Residential Construction","USA",288.29,3.20,5.96,3.65%,6123
1814,"UHT","Universal Health Realty Income Trust","Real Estate","REIT - Healthcare Facilities","USA",583.35,32.32,42.18,0.55%,28568
1815,"UIS","Unisys Corp.","Technology","Information Technology Services","USA",259.33,,3.74,6.86%,524652
1816,"ULBI","Ultralife Corp","Industrials","Electrical Equipment & Parts","USA",171.52,16.99,10.32,3.30%,36139
1817,"ULCC","Frontier Group Holdings Inc","Industrials","Airlines","USA",712.19,,3.18,2.91%,2789013
1818,"ULH","Universal Logistics Holdings Inc","Industrials","Trucking","USA",1034.90,8.11,39.32,2.21%,18397
1819,"UMBF","UMB Financial Corp.","Financial","Banks - Regional","USA",4606.39,12.18,94.49,3.01%,302113
1820,"UMH","UMH Properties Inc","Real Estate","REIT - Residential","USA",1401.13,,19.05,0.26%,393018
1821,"UNF","Unifirst Corp.","Industrials","Specialty Business Services","USA",3301.30,26.92,184.43,1.72%,34400
1822,"UNFI","United Natural Foods Inc.","Consumer Defensive","Food Distribution","USA",765.38,,12.87,-0.92%,468353
1823,"UNIT","Uniti Group Inc","Real Estate","REIT - Specialty","USA",1032.75,184.72,4.23,0.24%,4153833
1824,"UNTY","Unity Bancorp, Inc.","Financial","Banks - Regional","USA",311.78,8.24,31.24,0.74%,10016
1825,"UP","Wheels Up Experience Inc","Industrials","Airports & Air Services","USA",1164.49,,1.67,-9.73%,2248311
1826,"UPBD","Upbound Group Inc","Technology","Software - Application","USA",1773.27,33.31,32.43,2.14%,394683
1827,"UPST","Upstart Holdings Inc","Financial","Credit Services","USA",3006.37,,34.21,2.73%,12784288
1828,"UPWK","Upwork Inc","Communication Services","Internet Content & Information","USA",1242.27,17.42,9.37,-10.42%,10116376
1829,"URBN","Urban Outfitters, Inc.","Consumer Cyclical","Apparel Retail","USA",3738.80,12.76,40.03,2.98%,1288238
1830,"URG","Ur-Energy Inc.","Energy","Uranium","USA",350.82,,1.01,2.87%,1776445
1831,"URGN","UroGen Pharma Ltd","Healthcare","Biotechnology","USA",617.14,,14.99,3.59%,367475
1832,"USAP","Universal Stainless & Alloy Products, Inc.","Basic Materials","Steel","USA",337.63,20.19,36.54,-0.84%,173057
1833,"USCB","USCB Financial Holdings Inc","Financial","Banks - Regional","USA",285.66,16.46,14.53,1.82%,15534
1834,"USLM","United States Lime & Minerals Inc.","Basic Materials","Building Materials","USA",2058.48,23.90,72.00,3.97%,58962
1835,"USNA","Usana Health Sciences Inc","Consumer Defensive","Packaged Foods","USA",746.76,13.72,39.20,-1.28%,62196
1836,"USPH","U.S. Physical Therapy, Inc.","Healthcare","Medical Care Facilities","USA",1356.30,73.25,90.00,0.16%,145738
1837,"UTI","Universal Technical Institute Inc","Consumer Defensive","Education & Training Services","USA",924.28,34.19,17.18,1.54%,966756
1838,"UTL","Unitil Corp.","Utilities","Utilities - Diversified","USA",926.54,19.07,57.30,-0.02%,72631
1839,"UTMD","Utah Medical Products, Inc.","Healthcare","Medical Instruments & Supplies","USA",236.37,15.45,66.96,1.49%,13244
1840,"UTZ","Utz Brands Inc","Consumer Defensive","Packaged Foods","USA",1436.02,494.32,17.40,2.17%,1215774
1841,"UUUU","Energy Fuels Inc","Energy","Uranium","USA",744.70,,4.55,2.25%,2670852
